时间,值
2024/03/18 10:44,13.7
2024/03/18 10:59,14.1
2024/03/18 11:14,14.4
2024/03/18 11:29,14.5
2024/03/18 11:44,13.6
2024/03/18 11:59,12.5
2024/03/18 12:14,12.9
2024/03/18 12:29,14.2
2024/03/18 12:44,13.9
2024/03/18 12:59,14.3
2024/03/18 13:14,15.6
2024/03/18 13:29,16.7
2024/03/18 13:44,18.2
2024/03/18 13:59,18.4
2024/03/18 14:14,17.3
2024/03/18 14:29,16.3
2024/03/18 14:44,16.2
2024/03/18 14:59,16.3
2024/03/18 15:14,15.1
2024/03/18 15:29,14.5
2024/03/18 15:44,14.4
2024/03/18 15:59,13.7
2024/03/18 16:14,12.9
2024/03/18 16:29,12.4
2024/03/18 16:44,11.6
2024/03/18 16:59,11.0
2024/03/18 17:14,10.3
2024/03/18 17:29,9.8
2024/03/18 17:44,9.4
2024/03/18 17:59,9.1
2024/03/18 18:14,9.2
2024/03/18 18:29,11.4
2024/03/18 18:44,13.6
2024/03/18 18:59,14.1
2024/03/18 19:14,14.0
2024/03/18 19:29,13.7
2024/03/18 19:44,13.2
2024/03/18 19:59,13.1
2024/03/18 20:14,13.1
2024/03/18 20:29,12.1
2024/03/18 20:44,11.1
2024/03/18 20:59,11.8
2024/03/18 21:14,12.1
2024/03/18 21:29,11.7
2024/03/18 21:44,11.4
2024/03/18 21:59,11.0
2024/03/18 22:14,10.3
2024/03/18 22:29,9.7
2024/03/18 22:44,9.4
2024/03/18 22:59,9.3
2024/03/18 23:14,9.1
2024/03/18 23:29,8.6
2024/03/18 23:44,8.0
2024/03/18 23:59,7.9
2024/03/19 00:14,8.4
2024/03/19 00:29,7.7
2024/03/19 00:44,7.2
2024/03/19 00:59,8.3
2024/03/19 01:14,8.5
2024/03/19 01:29,7.9
2024/03/19 01:44,8.0
2024/03/19 01:59,8.0
2024/03/19 02:14,7.2
2024/03/19 02:29,6.4
2024/03/19 02:44,6.9
2024/03/19 02:59,7.7
2024/03/19 03:14,7.8
2024/03/19 03:29,7.0
2024/03/19 03:44,7.0
2024/03/19 03:59,7.9
2024/03/19 04:14,8.2
2024/03/19 04:29,7.5
2024/03/19 04:44,7.4
2024/03/19 04:59,8.3
2024/03/19 05:14,8.1
2024/03/19 05:29,7.9
2024/03/19 05:44,8.4
2024/03/19 05:59,8.7
2024/03/19 06:14,8.9
2024/03/19 06:29,9.3
2024/03/19 06:44,9.3
2024/03/19 06:59,8.9
2024/03/19 07:14,8.8
2024/03/19 07:29,8.6
2024/03/19 07:44,8.5
2024/03/19 07:59,8.6
2024/03/19 08:14,8.4
2024/03/19 08:29,8.3
2024/03/19 08:44,8.3
2024/03/19 08:59,8.1
2024/03/19 09:14,7.9
2024/03/19 09:29,7.7
2024/03/19 09:44,8.6
2024/03/19 09:59,10.6
2024/03/19 10:14,12.6
2024/03/19 10:29,14.8
2024/03/19 10:44,16.2
2024/03/19 10:59,16.7
2024/03/19 11:14,17.1
2024/03/19 11:29,17.2
2024/03/19 11:44,17.0
2024/03/19 11:59,16.6
2024/03/19 12:14,16.1
2024/03/19 12:29,16.2
2024/03/19 12:44,16.1
2024/03/19 12:59,15.5
2024/03/19 13:14,16.2
2024/03/19 13:29,17.5
2024/03/19 13:44,18.6
2024/03/19 13:59,19.1
2024/03/19 14:14,19.3
2024/03/19 14:29,18.9
2024/03/19 14:44,18.2
2024/03/19 14:59,17.5
2024/03/19 15:14,16.8
2024/03/19 15:29,15.8
2024/03/19 15:44,15.1
2024/03/19 15:59,14.6
2024/03/19 16:14,14.6
2024/03/19 16:29,13.9
2024/03/19 16:44,13.3
2024/03/19 16:59,12.7
2024/03/19 17:14,11.7
2024/03/19 17:29,10.9
2024/03/19 17:44,10.4
2024/03/19 17:59,9.8
2024/03/19 18:14,9.6
2024/03/19 18:29,10.0
2024/03/19 18:44,11.3
2024/03/19 18:59,12.4
2024/03/19 19:14,12.4
2024/03/19 19:29,12.7
2024/03/19 19:44,14.8
2024/03/19 19:59,16.4
2024/03/19 20:14,17.3
2024/03/19 20:29,16.9
2024/03/19 20:44,16.2
2024/03/19 20:59,16.7
2024/03/19 21:14,16.5
2024/03/19 21:29,15.8
2024/03/19 21:44,15.1
2024/03/19 21:59,14.6
2024/03/19 22:14,14.4
2024/03/19 22:29,14.6
2024/03/19 22:44,14.3
2024/03/19 22:59,13.8
2024/03/19 23:14,13.4
2024/03/19 23:29,13.1
2024/03/19 23:44,12.7
2024/03/19 23:59,12.2
2024/03/20 00:14,11.9
2024/03/20 00:29,11.6
2024/03/20 00:44,11.5
2024/03/20 00:59,11.3
2024/03/20 01:14,11.1
2024/03/20 01:29,10.9
2024/03/20 01:44,10.6
2024/03/20 01:59,10.3
2024/03/20 02:14,10.1
2024/03/20 02:29,9.8
2024/03/20 02:44,9.6
2024/03/20 02:59,9.3
2024/03/20 03:14,8.6
2024/03/20 03:29,7.8
2024/03/20 03:44,7.9
2024/03/20 03:59,8.7
2024/03/20 04:14,9.0
2024/03/20 04:29,9.1
2024/03/20 04:44,8.3
2024/03/20 04:59,7.7
2024/03/20 05:14,8.8
2024/03/20 05:29,9.2
2024/03/20 05:44,8.8
2024/03/20 05:59,8.7
2024/03/20 06:14,8.7
2024/03/20 06:29,8.8
2024/03/20 06:44,9.1
2024/03/20 06:59,9.3
2024/03/20 07:14,9.4
2024/03/20 07:29,9.5
2024/03/20 07:44,9.3
2024/03/20 07:59,8.9
2024/03/20 08:14,9.1
2024/03/20 08:29,9.4
2024/03/20 08:44,9.4
2024/03/20 08:59,9.4
2024/03/20 09:14,9.6
2024/03/20 09:29,10.1
2024/03/20 09:44,11.6
2024/03/20 09:59,13.3
2024/03/20 10:14,14.4
2024/03/20 10:29,15.3
2024/03/20 10:44,16.1
2024/03/20 10:59,16.0
2024/03/20 11:14,15.5
2024/03/20 11:29,15.2
2024/03/20 11:44,15.0
2024/03/20 11:59,14.7
2024/03/20 12:14,14.4
2024/03/20 12:29,14.1
2024/03/20 12:44,13.3
2024/03/20 12:59,12.9
2024/03/20 13:14,12.9
2024/03/20 13:29,12.5
2024/03/20 13:44,11.4
2024/03/20 13:59,10.5
2024/03/20 14:14,10.0
2024/03/20 14:29,9.4
2024/03/20 14:44,8.8
2024/03/20 14:59,8.6
2024/03/20 15:14,8.7
2024/03/20 15:29,8.4
2024/03/20 15:44,8.6
2024/03/20 15:59,8.8
2024/03/20 16:14,8.9
2024/03/20 16:29,9.1
2024/03/20 16:44,8.9
2024/03/20 16:59,8.8
2024/03/20 17:14,8.7
2024/03/20 17:29,8.6
2024/03/20 17:44,8.4
2024/03/20 17:59,8.7
2024/03/20 18:14,8.8
2024/03/20 18:29,9.1
2024/03/20 18:44,10.1
2024/03/20 18:59,11.0
2024/03/20 19:14,11.6
2024/03/20 19:29,12.3
2024/03/20 19:44,13.0
2024/03/20 19:59,13.3
2024/03/20 20:14,13.6
2024/03/20 20:29,14.0
2024/03/20 20:44,14.4
2024/03/20 20:59,15.2
2024/03/20 21:14,16.0
2024/03/20 21:29,15.8
2024/03/20 21:44,14.9
2024/03/20 21:59,15.3
2024/03/20 22:14,16.3
2024/03/20 22:29,16.2
2024/03/20 22:44,15.9
2024/03/20 22:59,16.0
2024/03/20 23:14,16.0
2024/03/20 23:29,15.5
2024/03/20 23:44,15.0
2024/03/20 23:59,14.9
2024/03/21 00:14,14.2
2024/03/21 00:29,13.3
2024/03/21 00:44,13.4
2024/03/21 00:59,13.6
2024/03/21 01:14,13.2
2024/03/21 01:29,13.1
2024/03/21 01:44,13.4
2024/03/21 01:59,13.4
2024/03/21 02:14,13.6
2024/03/21 02:29,13.9
2024/03/21 02:44,14.3
2024/03/21 02:59,14.4
2024/03/21 03:14,13.7
2024/03/21 03:29,12.9
2024/03/21 03:44,12.7
2024/03/21 03:59,12.5
2024/03/21 04:14,12.1
2024/03/21 04:29,11.9
2024/03/21 04:44,11.9
2024/03/21 04:59,11.6
2024/03/21 05:14,11.3
2024/03/21 05:29,11.2
2024/03/21 05:44,10.8
2024/03/21 05:59,10.2
2024/03/21 06:14,10.2
2024/03/21 06:29,10.3
2024/03/21 06:44,9.7
2024/03/21 06:59,9.8
2024/03/21 07:14,10.4
2024/03/21 07:29,10.5
2024/03/21 07:44,10.7
2024/03/21 07:59,10.9
2024/03/21 08:14,10.8
2024/03/21 08:29,10.7
2024/03/21 08:44,10.6
2024/03/21 08:59,10.5
2024/03/21 09:14,10.3
2024/03/21 09:29,10.8
2024/03/21 09:44,12.0
2024/03/21 09:59,12.6
2024/03/21 10:14,12.4
2024/03/21 10:29,12.2
2024/03/21 10:44,11.9
2024/03/21 10:59,11.2
2024/03/21 11:14,10.7
2024/03/21 11:29,10.6
2024/03/21 11:44,10.3
2024/03/21 11:59,10.1
2024/03/21 12:14,9.7
2024/03/21 12:29,9.2
2024/03/21 12:44,8.7
2024/03/21 12:59,8.4
2024/03/21 13:14,8.9
2024/03/21 13:29,10.5
2024/03/21 13:44,11.6
2024/03/21 13:59,12.7
2024/03/21 14:14,13.9
2024/03/21 14:29,14.1
2024/03/21 14:44,14.2
2024/03/21 14:59,14.6
2024/03/21 15:14,14.6
2024/03/21 15:29,15.2
2024/03/21 15:44,15.8
2024/03/21 15:59,16.0
2024/03/21 16:14,16.4
2024/03/21 16:29,15.9
2024/03/21 16:44,14.4
2024/03/21 16:59,14.6
2024/03/21 17:14,15.7
2024/03/21 17:29,16.1
2024/03/21 17:44,16.8
2024/03/21 17:59,17.1
2024/03/21 18:14,16.3
2024/03/21 18:29,15.6
2024/03/21 18:44,15.6
2024/03/21 18:59,16.1
2024/03/21 19:14,16.6
2024/03/21 19:29,15.5
2024/03/21 19:44,14.3
2024/03/21 19:59,14.1
2024/03/21 20:14,13.8
2024/03/21 20:29,13.0
2024/03/21 20:44,12.4
2024/03/21 20:59,11.5
2024/03/21 21:14,10.8
2024/03/21 21:29,10.8
2024/03/21 21:44,11.0
2024/03/21 21:59,10.7
2024/03/21 22:14,9.9
2024/03/21 22:29,9.9
2024/03/21 22:44,10.3
2024/03/21 22:59,10.3
2024/03/21 23:14,10.5
2024/03/21 23:29,10.8
2024/03/21 23:44,10.5
2024/03/21 23:59,10.3
2024/03/22 00:14,10.4
2024/03/22 00:29,10.4
2024/03/22 00:44,10.2
2024/03/22 00:59,10.2
2024/03/22 01:14,10.4
2024/03/22 01:29,10.4
2024/03/22 01:44,10.2
2024/03/22 01:59,10.2
2024/03/22 02:14,10.0
2024/03/22 02:29,9.7
2024/03/22 02:44,9.9
2024/03/22 02:59,10.1
2024/03/22 03:14,9.7
2024/03/22 03:29,9.5
2024/03/22 03:44,9.4
2024/03/22 03:59,9.6
2024/03/22 04:14,9.7
2024/03/22 04:29,9.5
2024/03/22 04:44,9.3
2024/03/22 04:59,10.0
2024/03/22 05:14,9.9
2024/03/22 05:29,9.1
2024/03/22 05:44,9.0
2024/03/22 05:59,9.3
2024/03/22 06:14,8.7
2024/03/22 06:29,7.8
2024/03/22 06:44,8.3
2024/03/22 06:59,9.3
2024/03/22 07:14,9.7
2024/03/22 07:29,11.2
2024/03/22 07:44,13.6
2024/03/22 07:59,14.8
2024/03/22 08:14,15.4
2024/03/22 08:29,17.2
2024/03/22 08:44,18.8
2024/03/22 08:59,19.2
2024/03/22 09:14,19.6
2024/03/22 09:29,20.4
2024/03/22 09:44,20.5
2024/03/22 09:59,19.7
2024/03/22 10:14,19.1
2024/03/22 10:29,18.3
2024/03/22 10:44,17.2
2024/03/22 10:59,16.2
2024/03/22 11:14,15.6
2024/03/22 11:29,14.5
2024/03/22 11:44,13.3
2024/03/22 11:59,12.5
2024/03/22 12:14,12.8
2024/03/22 12:29,13.9
2024/03/22 12:44,15.3
2024/03/22 12:59,16.3
2024/03/22 13:14,16.7
2024/03/22 13:29,17.2
2024/03/22 13:44,17.9
2024/03/22 13:59,18.7
2024/03/22 14:14,19.7
2024/03/22 14:29,20.4
2024/03/22 14:44,20.2
2024/03/22 14:59,20.1
2024/03/22 15:14,20.7
2024/03/22 15:29,20.8
2024/03/22 15:44,20.6
2024/03/22 15:59,19.9
2024/03/22 16:14,18.9
2024/03/22 16:29,18.6
2024/03/22 16:44,18.5
2024/03/22 16:59,17.9
2024/03/22 17:14,16.7
2024/03/22 17:29,14.8
2024/03/22 17:44,13.3
2024/03/22 17:59,12.6
2024/03/22 18:14,12.4
2024/03/22 18:29,11.8
2024/03/22 18:44,11.1
2024/03/22 18:59,10.8
2024/03/22 19:14,11.3
2024/03/22 19:29,12.4
2024/03/22 19:44,12.4
2024/03/22 19:59,12.1
2024/03/22 20:14,12.4
2024/03/22 20:29,12.7
2024/03/22 20:44,12.7
2024/03/22 20:59,12.4
2024/03/22 21:14,12.2
2024/03/22 21:29,12.1
2024/03/22 21:44,12.6
2024/03/22 21:59,12.4
2024/03/22 22:14,12.0
2024/03/22 22:29,13.1
2024/03/22 22:44,13.3
2024/03/22 22:59,13.1
2024/03/22 23:14,13.4
2024/03/22 23:29,13.5
2024/03/22 23:44,13.3
2024/03/22 23:59,13.3
2024/03/23 00:14,13.5
2024/03/23 00:29,13.4
2024/03/23 00:44,13.1
2024/03/23 00:59,13.3
2024/03/23 01:14,12.4
2024/03/23 01:29,11.6
2024/03/23 01:44,11.4
2024/03/23 01:59,11.2
2024/03/23 02:14,11.4
2024/03/23 02:29,11.5
2024/03/23 02:44,10.8
2024/03/23 02:59,10.8
2024/03/23 03:14,11.1
2024/03/23 03:29,11.1
2024/03/23 03:44,10.9
2024/03/23 03:59,10.7
2024/03/23 04:14,10.2
2024/03/23 04:29,9.3
2024/03/23 04:44,8.9
2024/03/23 04:59,9.4
2024/03/23 05:14,9.6
2024/03/23 05:29,9.2
2024/03/23 05:44,8.9
2024/03/23 05:59,8.9
2024/03/23 06:14,9.3
2024/03/23 06:29,9.4
2024/03/23 06:44,9.3
2024/03/23 06:59,9.5
2024/03/23 07:14,9.7
2024/03/23 07:29,10.1
2024/03/23 07:44,10.8
2024/03/23 07:59,12.1
2024/03/23 08:14,13.2
2024/03/23 08:29,14.2
2024/03/23 08:44,15.0
2024/03/23 08:59,15.5
2024/03/23 09:14,15.9
2024/03/23 09:29,16.2
2024/03/23 09:44,16.2
2024/03/23 09:59,16.9
2024/03/23 10:14,17.2
2024/03/23 10:29,17.0
2024/03/23 10:44,16.9
2024/03/23 10:59,16.2
2024/03/23 11:14,15.4
2024/03/23 11:29,15.5
2024/03/23 11:44,15.1
2024/03/23 11:59,14.9
2024/03/23 12:14,14.9
2024/03/23 12:29,15.4
2024/03/23 12:44,16.1
2024/03/23 12:59,16.1
2024/03/23 13:14,15.9
2024/03/23 13:29,16.2
2024/03/23 13:44,16.2
2024/03/23 13:59,15.5
2024/03/23 14:14,15.3
2024/03/23 14:29,15.4
2024/03/23 14:44,16.1
2024/03/23 14:59,16.8
2024/03/23 15:14,16.4
2024/03/23 15:29,16.2
2024/03/23 15:44,16.3
2024/03/23 15:59,16.7
2024/03/23 16:14,17.8
2024/03/23 16:29,18.7
2024/03/23 16:44,18.0
2024/03/23 16:59,17.8
2024/03/23 17:14,18.7
2024/03/23 17:29,18.6
2024/03/23 17:44,17.7
2024/03/23 17:59,17.3
2024/03/23 18:14,17.6
2024/03/23 18:29,17.9
2024/03/23 18:44,17.4
2024/03/23 18:59,16.6
2024/03/23 19:14,15.8
2024/03/23 19:29,15.2
2024/03/23 19:44,14.8
2024/03/23 19:59,14.8
2024/03/23 20:14,14.4
2024/03/23 20:29,14.2
2024/03/23 20:44,14.4
2024/03/23 20:59,14.3
2024/03/23 21:14,14.0
2024/03/23 21:29,13.9
2024/03/23 21:44,14.0
2024/03/23 21:59,13.9
2024/03/23 22:14,13.4
2024/03/23 22:29,13.2
2024/03/23 22:44,13.1
2024/03/23 22:59,12.0
2024/03/23 23:14,11.6
2024/03/23 23:29,12.1
2024/03/23 23:44,11.8
2024/03/23 23:59,11.9
2024/03/24 00:14,12.0
2024/03/24 00:29,11.0
2024/03/24 00:44,10.1
2024/03/24 00:59,10.9
2024/03/24 01:14,11.9
2024/03/24 01:29,11.8
2024/03/24 01:44,11.7
2024/03/24 01:59,11.4
2024/03/24 02:14,11.6
2024/03/24 02:29,11.9
2024/03/24 02:44,11.8
2024/03/24 02:59,12.1
2024/03/24 03:14,12.0
2024/03/24 03:29,11.1
2024/03/24 03:44,11.4
2024/03/24 03:59,12.4
2024/03/24 04:14,12.3
2024/03/24 04:29,11.9
2024/03/24 04:44,11.8
2024/03/24 04:59,11.6
2024/03/24 05:14,10.7
2024/03/24 05:29,10.6
2024/03/24 05:44,10.9
2024/03/24 05:59,10.7
2024/03/24 06:14,9.8
2024/03/24 06:29,9.7
2024/03/24 06:44,10.7
2024/03/24 06:59,10.9
2024/03/24 07:14,10.4
2024/03/24 07:29,10.1
2024/03/24 07:44,10.3
2024/03/24 07:59,10.0
2024/03/24 08:14,9.6
2024/03/24 08:29,9.9
2024/03/24 08:44,10.8
2024/03/24 08:59,12.2
2024/03/24 09:14,13.1
2024/03/24 09:29,13.6
2024/03/24 09:44,14.3
2024/03/24 09:59,15.1
2024/03/24 10:14,15.2
2024/03/24 10:29,15.0
2024/03/24 10:44,14.9
2024/03/24 10:59,14.6
2024/03/24 11:14,14.2
2024/03/24 11:29,14.0
2024/03/24 11:44,13.6
2024/03/24 11:59,13.2
2024/03/24 12:14,13.3
2024/03/24 12:29,14.2
2024/03/24 12:44,15.3
2024/03/24 12:59,16.7
2024/03/24 13:14,17.8
2024/03/24 13:29,19.1
2024/03/24 13:44,19.9
2024/03/24 13:59,19.8
2024/03/24 14:14,20.0
2024/03/24 14:29,20.3
2024/03/24 14:44,20.6
2024/03/24 14:59,21.0
2024/03/24 15:14,21.1
2024/03/24 15:29,19.9
2024/03/24 15:44,18.2
2024/03/24 15:59,17.2
2024/03/24 16:14,17.8
2024/03/24 16:29,17.8
2024/03/24 16:44,16.8
2024/03/24 16:59,16.4
2024/03/24 17:14,16.4
2024/03/24 17:29,16.4
2024/03/24 17:44,15.8
2024/03/24 17:59,15.7
2024/03/24 18:14,15.8
2024/03/24 18:29,15.6
2024/03/24 18:44,15.0
2024/03/24 18:59,15.0
2024/03/24 19:14,15.6
2024/03/24 19:29,16.9
2024/03/24 19:44,17.7
2024/03/24 19:59,17.0
2024/03/24 20:14,17.1
2024/03/24 20:29,17.6
2024/03/24 20:44,17.8
2024/03/24 20:59,17.3
2024/03/24 21:14,16.7
2024/03/24 21:29,16.7
2024/03/24 21:44,16.8
2024/03/24 21:59,16.2
2024/03/24 22:14,16.3
2024/03/24 22:29,16.6
2024/03/24 22:44,16.3
2024/03/24 22:59,16.2
2024/03/24 23:14,16.1
2024/03/24 23:29,15.6
2024/03/24 23:44,15.0
2024/03/24 23:59,14.4
2024/03/25 00:14,14.0
2024/03/25 00:29,13.5
2024/03/25 00:44,13.1
2024/03/25 00:59,13.3
2024/03/25 01:14,12.9
2024/03/25 01:29,12.3
2024/03/25 01:44,12.7
2024/03/25 01:59,12.7
2024/03/25 02:14,12.2
2024/03/25 02:29,12.3
2024/03/25 02:44,12.2
2024/03/25 02:59,11.8
2024/03/25 03:14,11.9
2024/03/25 03:29,12.1
2024/03/25 03:44,11.6
2024/03/25 03:59,11.4
2024/03/25 04:14,11.4
2024/03/25 04:29,11.3
2024/03/25 04:44,11.1
2024/03/25 04:59,11.0
2024/03/25 05:14,10.7
2024/03/25 05:29,10.6
2024/03/25 05:44,11.1
2024/03/25 05:59,11.2
2024/03/25 06:14,10.9
2024/03/25 06:29,11.0
2024/03/25 06:44,10.9
2024/03/25 06:59,11.9
2024/03/25 07:14,14.3
2024/03/25 07:29,15.6
2024/03/25 07:44,16.6
2024/03/25 07:59,17.5
2024/03/25 08:14,18.3
2024/03/25 08:29,18.9
2024/03/25 08:44,19.1
2024/03/25 08:59,18.9
