fieldName,displayName,dataType,description,exampleValue
basic.reportId,基本信息.报告ID,String,"病理报告唯一标识符",BC-2024-001234
basic.patientId,基本信息.患者ID,String,"患者唯一标识符",P123456789
basic.patientName,基本信息.患者姓名,String,"患者姓名",张三
basic.age,基本信息.年龄,Number,"患者年龄(岁)。<br>**流行病学**: 乳腺癌中位发病年龄45-55岁(中国),比欧美年轻10岁;年轻乳腺癌(<40岁)占15-20%,绝经后乳腺癌占50-60%<br>**临床意义**: 年龄是重要的预后因素,<35岁年轻乳腺癌预后差、复发率高、多为三阴性或HER2阳性;绝经状态决定内分泌治疗选择(绝经前他莫昔芬,绝经后芳香化酶抑制剂)",48
basic.gender,基本信息.性别,String,"患者性别。<br>**建议值**: `女`, `男`<br>**流行病学**: 女性占99%,男性乳腺癌占1%,男性乳腺癌多为HR阳性(90%),预后与女性相似",女
basic.reportDate,基本信息.报告日期,Date,"病理报告出具日期",2024-03-15
basic.hospitalName,基本信息.医院名称,String,"出具报告的医疗机构名称",北京协和医院
basic.pathologistName,基本信息.病理医师,String,"报告病理医师姓名",李医生
specimen.type,标本信息.标本类型,String,"病理标本类型。<br>**建议值**:<br>- `空芯针穿刺活检(CNB)`: 术前诊断金标准,14-16G针,取2-4条组织,确诊率>95%<br>- `细针抽吸活检(FNA)`: 细胞学诊断,仅用于淋巴结评估<br>- `麦默通真空辅助活检`: 取材更多,适合微小钙化或不可触及病灶<br>- `乳腺肿块切除标本`: 保乳手术或诊断性切除<br>- `乳腺单纯切除标本`: 全乳切除<br>- `乳腺根治术标本`: 乳腺+腋窝淋巴结+胸肌筋膜<br>- `改良根治术标本`: 乳腺+腋窝淋巴结(保留胸肌),最常用术式<br>- `前哨淋巴结活检`: 评估腋窝淋巴结状态,阴性可免除腋窝清扫<br>**临床意义**: CNB是术前诊断金标准,可获得ER/PR/HER2/Ki-67信息指导新辅助治疗;前哨淋巴结活检可避免70%患者不必要的腋窝清扫及并发症(淋巴水肿)",空芯针穿刺活检
specimen.laterality,标本信息.病变侧别,String,"病变位于左侧或右侧乳腺。<br>**建议值**: `左侧`, `右侧`, `双侧`<br>**流行病学**: 单侧发病占95%,双侧同时发病占5%,双侧异时发病(10年累积风险)10-15%<br>**临床意义**: 双侧乳腺癌提示遗传性乳腺癌可能(BRCA突变者对侧乳腺癌风险40%),需考虑双侧预防性乳房切除术",左侧
specimen.location,标本信息.肿瘤位置,String,"肿瘤在乳腺的位置(钟盘法或象限法)。<br>**象限法**:<br>- 外上象限: 50-60%,最常见<br>- 外下象限: 10-15%<br>- 内上象限: 10-15%<br>- 内下象限: 5-10%<br>- 中央区(乳晕乳头): 10-15%<br>**钟盘法**: 12点钟方向在头侧,6点钟方向在足侧,以乳头为中心<br>**建议值**: `外上象限`, `外下象限`, `内上象限`, `内下象限`, `中央区`, `3点钟`, `6点钟`, `9点钟`, `12点钟`<br>**临床意义**: 外上象限最常见(50-60%);内侧象限肿瘤淋巴引流至内乳淋巴结(20-30%),预后稍差;中央区肿瘤累及乳头乳晕,保乳率低",外上象限
specimen.size,标本信息.肿瘤大小,String,"肿瘤最大径(cm)。<br>**测量**: 浸润性成分最大径,非整体肿瘤大小<br>**T分期界限**: ≤2cm为T1,2-5cm为T2,>5cm为T3<br>**临床意义**: 肿瘤大小是最重要的预后因素,T1(≤2cm) 10年生存率85-90%,T2 70-80%,T3 50-60%;肿瘤大小决定保乳可行性,一般≤3cm且瘤/乳比<25%可保乳;新辅助治疗后肿瘤缩小可提高保乳率",2.3cm
clinical.symptoms,临床表现.主要症状,String,"主要临床症状。<br>**最常见症状**: 无痛性乳腺肿块(70-80%),质硬、边界不清、活动度差<br>**其他症状**:<br>- 乳头溢液(5-10%): 血性溢液提示乳腺癌或导管内乳头状瘤<br>- 乳头乳晕改变: 乳头回缩/偏斜/固定,乳晕湿疹样改变(Paget病)<br>- 皮肤改变: 酒窝征(皮肤凹陷)、橘皮样变(皮肤水肿)、卫星结节、皮肤破溃<br>- 腋窝淋巴结肿大(20-30%)<br>- 晚期症状: 同侧上肢水肿、骨痛(骨转移)、呼吸困难(肺/胸膜转移)、黄疸(肝转移)、头痛(脑转移)<br>**建议值**: `无症状(体检/筛查发现)`, `乳腺肿块`, `乳头溢液`, `乳头回缩`, `皮肤凹陷(酒窝征)`, `皮肤橘皮样变`, `腋窝淋巴结肿大`, `乳腺疼痛`<br>**临床意义**: 70-80%为无痛性肿块,10-15%通过钼靶筛查发现(无症状);乳腺癌性疼痛少见(<10%),乳腺疼痛多为良性病变;皮肤橘皮样变/卫星结节提示炎性乳腺癌,预后极差",乳腺肿块(无痛,质硬)
clinical.imaging,临床表现.影像学特征,String,"钼靶/超声/MRI主要发现。<br>**钼靶(MMG)**(筛查首选,>40岁):<br>- 恶性特征: 毛刺状肿块、成簇细小多形性钙化(簇状钙化)、结构扭曲、不对称致密影<br>- BI-RADS分级: 0(需补充检查)、1(阴性)、2(良性)、3(可能良性,<2%恶性)、4(可疑恶性,4a 2-10%、4b 10-50%、4c 50-95%)、5(高度恶性,>95%)、6(病理证实恶性)<br>**超声**(首选,<40岁或致密型乳腺):<br>- 恶性特征: 形态不规则、边界不清晰、纵横比>1(竖立征)、微小钙化、后方回声衰减、血流丰富<br>**MRI**(评估范围、筛查高危人群):<br>- 恶性特征: 不规则强化、环形强化、快速强化后流出(Ⅲ型曲线)、多中心/多灶性病灶<br>**示例**: `钼靶BI-RADS 4c:左乳外上象限2.5cm毛刺状肿块,簇状细小钙化;超声:低回声实性结节,边界不清,纵横比>1,CDFI血流丰富`<br>**临床意义**: 钼靶对钙化敏感,超声对致密型乳腺优势明显;BI-RADS 4-5需活检;MRI敏感性最高(90%)但特异性较低(70%),适合评估多中心/多灶性及新辅助疗效",钼靶BI-RADS 4c,超声低回声结节
clinical.tumorMarkers.cea,临床表现.肿瘤标志物.CEA,Number,"癌胚抗原(ng/ml)。<br>**正常值**: <5 ng/ml<br>**阳性率**: 乳腺癌40-50%,转移性乳腺癌60-70%<br>**临床意义**: CEA阳性率不高,主要用于监测复发转移,术后CEA升高提示复发,CEA>100 ng/ml常提示远处转移;CEA不用于筛查诊断<br>**监测**: 术前基线+术后每3-6个月",8.5
clinical.tumorMarkers.ca153,临床表现.肿瘤标志物.CA15-3,Number,"糖链抗原15-3(U/ml)。<br>**正常值**: <25 U/ml<br>**阳性率**: 早期乳腺癌20-30%,晚期60-80%<br>**临床意义**: CA15-3是乳腺癌最常用标志物,但早期阳性率低(20-30%),不适合筛查;主要用于监测复发转移,CA15-3>50 U/ml常提示转移;CA15-3升高先于影像学3-6个月<br>**监测**: 术前基线+术后每3-6个月×5年",35
clinical.tumorMarkers.ca125,临床表现.肿瘤标志物.CA125,Number,"糖链抗原125(U/ml)。<br>**正常值**: <35 U/ml<br>**阳性率**: 乳腺癌15-25%<br>**临床意义**: CA125阳性率低于CA15-3,主要在转移性乳腺癌升高,CA125>100 U/ml提示腹膜/胸膜转移可能;CA125与CA15-3联合监测可提高复发检出率",28
pathology.who.type,病理诊断.WHO分类.组织学类型,String,"WHO 2019乳腺肿瘤分类。<br>**浸润性癌(70-80%)**:<br>- **浸润性非特殊类型(NST,原称IDC)**: 70-75%,形态多样,包括所有不符合特殊类型标准的浸润性癌<br>- **浸润性小叶癌(ILC)**: 10-15%,单行排列,E-cadherin缺失,多发/多中心/双侧率高(15-30%),常ER+/PR+/HER2-,化疗不敏感<br>- **管状癌**: 2-3%,>90%管状结构,预后极好,10年生存率>95%<br>- **筛状癌**: 1-2%,筛孔状结构,预后好<br>- **黏液癌**: 2-3%,>90%黏液成分,老年绝经后女性,预后好<br>- **乳头状癌**: <1%,乳头状结构<br>- **微乳头状癌**: 1-2%,淋巴管侵犯率极高(80-90%),淋巴结转移率高(60-80%),预后差<br>- **化生性癌**: 1-2%,鳞状/梭形细胞/软骨/骨化生,多为三阴性,预后差<br>- **富于淋巴细胞癌**: <1%,肿瘤内淋巴细胞浸润>50%,常三阴性但预后较好<br>**原位癌(20-30%)**:<br>- **导管原位癌(DCIS)**: 15-25%,局限于导管基底膜内,不转移,5年生存率>98%,但20-30%进展为浸润性癌<br>- **小叶原位癌(LCIS)**: 1-3%,对侧乳腺癌风险增加10倍,视为高危因素而非真正癌前病变<br>**Paget病**: 1-2%,乳头乳晕湿疹样改变,90%伴DCIS或浸润性癌<br>**炎性乳腺癌(IBC)**: 1-3%,临床诊断,皮肤橘皮样变/红肿/发热,真皮淋巴管癌栓,预后极差,5年生存率<30%<br>**建议值**: `浸润性非特殊类型(NST)`, `浸润性小叶癌(ILC)`, `管状癌`, `筛状癌`, `黏液癌`, `微乳头状癌`, `化生性癌`, `富于淋巴细胞癌`, `导管原位癌(DCIS)`, `小叶原位癌(LCIS)`, `Paget病`, `炎性乳腺癌(IBC)`<br>**临床意义**: 组织学类型影响预后和治疗,管状癌/筛状癌/黏液癌预后好,微乳头状癌/化生性癌预后差;ILC对化疗不敏感,内分泌治疗疗效好;富于淋巴细胞癌虽三阴性但预后较好;炎性乳腺癌预后极差,需强化全身治疗",浸润性非特殊类型(NST)
pathology.grade,病理诊断.组织学分级,String,"Nottingham组织学分级(Elston-Ellis改良Scarff-Bloom-Richardson分级)。<br>**评分系统**(腺管形成+核异型性+核分裂象,各1-3分,总分3-9分):<br>- **腺管形成**: 1分(>75%腺管)、2分(10-75%腺管)、3分(<10%腺管)<br>- **核异型性**: 1分(小而一致)、2分(中度多形性)、3分(明显多形性)<br>- **核分裂象**: 1分(0-5个/10HPF)、2分(6-10个/10HPF)、3分(≥11个/10HPF,具体标准依视野面积调整)<br>**分级**:<br>- **G1(低级别)**: 3-5分,高分化,10-20%,10年生存率90-95%<br>- **G2(中级别)**: 6-7分,中分化,40-50%,10年生存率70-80%<br>- **G3(高级别)**: 8-9分,低分化,30-40%,10年生存率50-60%<br>**建议值**: `G1-低级别(3-5分)`, `G2-中级别(6-7分)`, `G3-高级别(8-9分)`<br>**临床意义**: 组织学分级是独立预后因素,G3复发风险是G1的3-4倍;G3肿瘤常为三阴性或HER2阳性,需化疗;G1肿瘤多为Luminal A型,可考虑省略化疗;组织学分级与Ki-67相关,G3 Ki-67通常>30%",G2-中级别(6分:腺管2+核2+分裂2)
pathology.invasionDepth,病理诊断.浸润深度,String,"浸润范围。<br>**原位癌**: 局限于导管/小叶基底膜内,未突破基底膜<br>**微浸润**: 浸润灶≤1mm,通常为单发,不影响预后<br>**浸润性癌**: 突破基底膜,浸润周围间质<br>**皮肤侵犯**: 真皮浸润(pT4b)或皮肤溃疡(pT4b)<br>**胸壁侵犯**: 侵犯胸肌/肋骨/肋间肌(pT4a)<br>**建议值**: `原位癌`, `微浸润(≤1mm)`, `浸润性癌`, `皮肤侵犯`, `胸壁侵犯`<br>**临床意义**: 原位癌5年生存率>98%,微浸润预后与原位癌相似;皮肤侵犯/胸壁侵犯为T4,局部晚期,需新辅助治疗",浸润性癌
pathology.lymphovascularInvasion,病理诊断.脉管侵犯,String,"淋巴管/血管侵犯(LVI)。<br>**定义**: 镜下见肿瘤细胞位于淋巴管腔或血管腔内,内皮细胞包绕<br>**检出率**: 15-30%,与肿瘤大小、分级、淋巴结转移相关<br>**建议值**: `未见脉管侵犯`, `淋巴管侵犯`, `血管侵犯`, `淋巴管+血管侵犯`<br>**临床意义**: LVI是强烈的独立不良预后因素,LVI阳性淋巴结转移率增加3-4倍,复发风险增加2-3倍;LVI阳性是化疗指征,即使淋巴结阴性也建议化疗;LVI与分子分型无关,各亚型均可出现",淋巴管侵犯
staging.tnm.cT,分期.TNM.临床T分期,String,"临床T分期(AJCC第8版,基于体检+影像)。<br>**Tis**: 原位癌(DCIS/LCIS/Paget病无浸润)<br>**T1**: ≤20mm<br>- **T1mi**: 微浸润≤1mm<br>- **T1a**: >1mm且≤5mm<br>- **T1b**: >5mm且≤10mm<br>- **T1c**: >10mm且≤20mm<br>**T2**: >20mm且≤50mm<br>**T3**: >50mm<br>**T4**: 任何大小,侵犯胸壁或皮肤<br>- **T4a**: 胸壁侵犯(不包括胸肌)<br>- **T4b**: 皮肤溃疡/卫星结节/皮肤水肿(橘皮样)<br>- **T4c**: T4a+T4b<br>- **T4d**: 炎性乳腺癌<br>**建议值**: `Tis`, `T1mi`, `T1a`, `T1b`, `T1c`, `T2`, `T3`, `T4a`, `T4b`, `T4c`, `T4d`<br>**临床意义**: T分期是预后最重要因素,T1 10年生存率85-90%,T2 70-80%,T3 50-60%,T4 30-40%;T1可保乳,T3通常需全切,T4需新辅助治疗;炎性乳腺癌(T4d)预后最差,5年生存率<30%",cT2(2.3cm)
staging.tnm.cN,分期.TNM.临床N分期,String,"临床N分期(AJCC第8版,基于体检+影像)。<br>**cN0**: 无区域淋巴结转移<br>**cN1**: 同侧腋窝淋巴结转移,可活动<br>**cN2**:<br>- **cN2a**: 同侧腋窝淋巴结转移,固定或融合<br>- **cN2b**: 仅同侧内乳淋巴结转移(影像学检出,临床无腋窝淋巴结转移)<br>**cN3**:<br>- **cN3a**: 同侧锁骨下淋巴结转移<br>- **cN3b**: 同侧内乳+腋窝淋巴结转移<br>- **cN3c**: 同侧锁骨上淋巴结转移<br>**建议值**: `cN0`, `cN1`, `cN2a`, `cN2b`, `cN3a`, `cN3b`, `cN3c`<br>**临床意义**: cN0可行前哨淋巴结活检,cN+需腋窝清扫;cN2-3为局部晚期,需新辅助治疗;内乳淋巴结转移(cN2b/cN3b)预后差,需放疗",cN1
staging.tnm.pT,分期.TNM.病理T分期,String,"病理T分期(AJCC第8版,基于手术标本)。<br>**与cT分期定义一致**<br>**建议值**: `pTis`, `pT1mi`, `pT1a`, `pT1b`, `pT1c`, `pT2`, `pT3`, `pT4a`, `pT4b`, `pT4c`, `pT4d`<br>**临床意义**: pT分期更准确,是预后评估金标准;新辅助治疗后肿瘤缩小,pT分期加前缀y(ypT),ypT0(pCR)预后最好",pT2(2.3cm)
staging.tnm.pN,分期.TNM.病理N分期,String,"病理N分期(AJCC第8版)。<br>**pN0**: 无淋巴结转移<br>- **pN0(i+)**: 仅孤立肿瘤细胞(ITC,≤0.2mm或≤200个细胞),不计入N分期<br>- **pN0(mol+)**: 仅分子学检出(RT-PCR),不计入N分期<br>**pN1**: 1-3枚腋窝淋巴结转移,和/或内乳前哨淋巴结微转移<br>- **pN1mi**: 微转移(>0.2mm且≤2mm)<br>- **pN1a**: 1-3枚腋窝淋巴结转移,至少1枚>2mm<br>- **pN1b**: 内乳前哨淋巴结微转移,腋窝淋巴结阴性<br>- **pN1c**: 1-3枚腋窝淋巴结转移+内乳前哨淋巴结微转移<br>**pN2**: 4-9枚腋窝淋巴结转移,或内乳淋巴结转移(无腋窝转移)<br>- **pN2a**: 4-9枚腋窝淋巴结转移,至少1枚>2mm<br>- **pN2b**: 内乳淋巴结转移(影像学/临床/病理),腋窝淋巴结阴性<br>**pN3**: ≥10枚腋窝淋巴结转移,或锁骨下/锁骨上/内乳+腋窝转移<br>- **pN3a**: ≥10枚腋窝淋巴结转移,或锁骨下淋巴结转移<br>- **pN3b**: 内乳+腋窝淋巴结转移(≥1枚腋窝>2mm或4-9枚腋窝)<br>- **pN3c**: 锁骨上淋巴结转移<br>**建议值**: `pN0`, `pN0(i+)`, `pN1mi`, `pN1a`, `pN1b`, `pN1c`, `pN2a`, `pN2b`, `pN3a`, `pN3b`, `pN3c`<br>**临床意义**: pN是最重要的预后因素,pN0 10年生存率85%,pN1 70%,pN2 50%,pN3 30%;微转移(pN1mi)预后介于pN0和pN1a之间;ITC(pN0(i+))不影响预后,不计入N分期;内乳淋巴结转移(pN2b/pN3b)需内乳区放疗",pN1a(2枚阳性/15枚检出)
staging.tnm.pM,分期.TNM.病理M分期,String,"病理M分期(AJCC第8版)。<br>**pM0**: 无远处转移<br>**pM1**: 远处转移<br>**常见转移部位**:<br>- 骨: 最常见(50-70%),溶骨性或成骨性,骨痛、病理性骨折、脊髓压迫<br>- 肺: 20-30%,肺结节、胸腔积液、淋巴管癌<br>- 肝: 15-25%,多发结节,肝功能异常<br>- 脑: 10-15%,头痛、恶心呕吐、癫痫、肢体无力,HER2阳性/三阴性脑转移率高<br>**建议值**: `pM0`, `pM1-骨转移`, `pM1-肺转移`, `pM1-肝转移`, `pM1-脑转移`, `pM1-多器官转移`<br>**临床意义**: pM1为IV期,5年生存率20-30%,中位OS 24-36月(HR+/HER2+)或12-18月(三阴性);寡转移(单发骨/肺转移)可局部治疗(手术/放疗)+全身治疗,中位OS可达5-10年",pM0
staging.ajcc.anatomic,分期.AJCC.解剖学分期,String,"AJCC第8版解剖学分期(基于TNM)。<br>**0期**: Tis N0 M0,原位癌<br>**IA期**: T1 N0 M0,10年生存率90-95%<br>**IB期**: T0-1 N1mi M0,85-90%<br>**IIA期**: T0-1 N1 M0或T2 N0 M0,75-85%<br>**IIB期**: T2 N1 M0或T3 N0 M0,65-75%<br>**IIIA期**: T0-2 N2 M0或T3 N1-2 M0,50-65%<br>**IIIB期**: T4 N0-2 M0,40-55%<br>**IIIC期**: 任何T N3 M0,25-40%<br>**IV期**: 任何T 任何N M1,20-30%<br>**建议值**: `0期`, `IA期`, `IB期`, `IIA期`, `IIB期`, `IIIA期`, `IIIB期`, `IIIC期`, `IV期`<br>**临床意义**: 解剖学分期仅基于TNM,未考虑生物学特征;AJCC第8版推荐使用预后分期(整合ER/PR/HER2/分级)指导治疗,预后分期更准确",IIA期(T2N0M0)
staging.ajcc.prognostic,分期.AJCC.预后分期,String,"AJCC第8版预后分期(整合TNM+ER/PR/HER2/分级+基因检测)。<br>**定义**: 在解剖学分期基础上,整合生物学标志物(ER/PR/HER2/组织学分级/Oncotype DX等)得出的预后分期<br>**举例**: T2N0M0 ER+/PR+/HER2- G1患者,解剖学分期IIA,但预后分期可降为IA(低复发风险)<br>**分期调整**:<br>- ER+/PR+/HER2- G1低复发风险: 预后分期降级<br>- ER-/PR-/HER2- G3(三阴性): 预后分期升级<br>- HER2+: 靶向治疗改善预后,预后分期可降级<br>**建议值**: `IA期`, `IB期`, `IIA期`, `IIB期`, `IIIA期`, `IIIB期`, `IIIC期`, `IV期`<br>**临床意义**: 预后分期是AJCC第8版重大创新,比解剖学分期更准确预测预后;例如T2N0M0 ER+/PR+/HER2- G1 Oncotype DX低危患者预后分期IA(10年生存率>90%),可免除化疗;推荐用预后分期指导治疗决策",IA期(预后分期,整合生物学标志物)
lymphNode.totalNumber,淋巴结.检出总数,Number,"检出淋巴结总数。<br>**推荐**: 腋窝清扫应检出至少10枚淋巴结<br>**检出率**: 前哨淋巴结活检平均1-3枚,腋窝清扫I+II站平均15-20枚,I+II+III站20-30枚<br>**临床意义**: 检出淋巴结<10枚为分期不足,可能遗漏转移;前哨淋巴结活检假阴性率5-10%,阴性可免除腋窝清扫;Z0011研究显示cT1-2N0患者前哨淋巴结1-2枚阳性且行保乳+全乳放疗者可免除腋窝清扫,10年OS无差异",15
lymphNode.positiveNumber,淋巴结.阳性数目,Number,"转移淋巴结数目。<br>**临床意义**: 阳性淋巴结数目是最重要的预后因素,1-3枚 vs 4-9枚 vs ≥10枚对应pN1 vs pN2 vs pN3,10年生存率从70%降至50%再降至30%;淋巴结阳性比率(LNR,阳性数/检出数)也是独立预后因素,LNR>0.3预后显著差;1-2枚阳性+保乳+全乳放疗可免除腋窝清扫(Z0011研究),≥3枚需腋窝清扫",2
ihc.er.status,免疫组化.ER.状态,String,"雌激素受体(ER)状态。<br>**ASCO/CAP 2020指南**: ≥1%核阳性细胞即为ER阳性<br>**判断标准**:<br>- **ER阴性**: 0%核阳性<br>- **ER低阳性**: 1-10%核阳性(疗效有限,需慎重评估内分泌治疗获益)<br>- **ER阳性**: >10%核阳性<br>**建议值**: `ER阴性(0%)`, `ER低阳性(1-10%)`, `ER阳性(>10%)`<br>**临床意义**: ER是最重要的预测因子,决定内分泌治疗适应症;ER阳性占70-75%,内分泌治疗可使复发风险降低40-50%;ER低阳性(1-10%)患者内分泌治疗获益有限(<5%),需综合评估;ER阳性率越高疗效越好,>50%患者5年无病生存率提高15-20%",ER阳性(>10%)
ihc.er.percentage,免疫组化.ER.阳性百分比,Number,"ER阳性肿瘤细胞百分比(%)。<br>**判断标准**: 核阳性肿瘤细胞占全部肿瘤细胞的百分比<br>**临床意义**: ER阳性率越高内分泌治疗疗效越好,>50%患者获益最大;ER 1-10%低阳性患者内分泌治疗获益有限,需结合PR/HER2/分级综合评估;ER阳性率影响Luminal A/B分型判断",85
